0.10, [128.0, 128.0], [0.0, 0.0], [0, 0], error:[0.0, 0.0]
4.00, [68.30153629560266, 61.89284784533365], [2.0, 2.0], [1.8888888888888888, 1.472222222222222], error:[-0.4879567486950031, -0.3124720357941826]
4.10, [67.80396320951863, 59.77610028472253], [2.0, 2.0], [1.8888888888888888, 1.472222222222222], error:[-0.476845637583892, -0.2596942580164048]
4.20, [67.51333839100431, 57.703091679144535], [2.0, 2.0], [1.9166666666666667, 1.472222222222222], error:[-0.4685123042505587, -0.206916480238627]
4.30, [67.22271357249001, 55.95523660087861], [2.0, 2.0], [1.9166666666666667, 1.4999999999999998], error:[-0.46017897091722537, -0.15691648023862698]
4.40, [67.02896369348048, 54.789999882034635], [2.0, 2.0], [1.9444444444444444, 1.6666666666666665], error:[-0.45462341536166984, -0.12358314690529362]
4.50, [67.12583863298525, 55.76103048107127], [2.0, 2.0], [2.0277777777777777, 2.2777777777777777], error:[-0.4574011931394476, -0.15136092468307139]
4.60, [67.22271357249001, 56.7320610801079], [2.0, 2.0], [2.0277777777777777, 2.2777777777777777], error:[-0.46017897091722537, -0.17913870246084915]
4.70, [67.02896369348048, 58.10498378950322], [2.0, 2.0], [1.9444444444444444, 2.388888888888889], error:[-0.45462341536166984, -0.21802759134973804]
4.80, [67.02896369348048, 59.21906145298276], [2.0, 2.0], [2.0, 2.2777777777777777], error:[-0.45462341536166984, -0.2458053691275158]
4.90, [67.02896369348048, 61.001585714550004], [2.0, 2.0], [2.0, 2.444444444444444], error:[-0.45462341536166984, -0.2902498135719602]
5.00, [67.3195885119948, 62.784109976117264], [2.0, 2.0], [2.0833333333333335, 2.444444444444444], error:[-0.4629567486950032, -0.3346942580164046]
5.10, [67.41646345149955, 63.80323135463506], [2.0, 2.0], [2.0277777777777777, 2.2777777777777777], error:[-0.46573452647278096, -0.3624720357941824]
5.20, [67.51333839100432, 64.89915861803823], [2.0, 2.0], [2.0277777777777777, 2.3055555555555554], error:[-0.46851230425055873, -0.39302759134973797]
5.30, [67.70708827001386, 65.89545613022291], [2.0, 2.0], [2.0555555555555554, 2.2777777777777777], error:[-0.47406785980611427, -0.42080536912751576]
